No.,Pos.,Player,Date of birth,Caps,Club
1,GK,Andre Arendse,27 June 1967,Cape Town Spurs
16,GK,Roger De Sa,1 October 1964,Mamelodi Sundowns
22,GK,John Tlale,15 May 1967,QwaQwa Stars
5,DF,Mark Fish,14 March 1974,Orlando Pirates
3,DF,Edward Motale,29 July 1966,Orlando Pirates
2,DF,Sizwe Motaung,7 January 1970,Mamelodi Sundowns
20,DF,David Nyathi,22 March 1969,Cape Town Spurs
4,DF,Lucas Radebe,12 April 1969,Leeds United
9,DF,Neil Tovey (c),2 April 1962,Kaizer Chiefs
14,DF,Andrew Tucker,25 December 1968,Pretoria City
8,MF,Linda Buthelezi,28 June 1969,Mamelodi Sundowns
15,MF,Doctor Khumalo,26 June 1967,Kaizer Chiefs
12,MF,Augustine Makalakalane,15 September 1965,Zürich
19,MF,Helman Mkhalele,20 October 1969,Orlando Pirates
18,MF,John Moeti,30 August 1967,Orlando Pirates
7,MF,Zane Moosa,23 September 1968,Mamelodi Sundowns
10,MF,John Moshoeu,18 December 1965,Kocaelispor
21,MF,Eric Tinkler,30 July 1970,Vitória de Setúbal
17,FW,Shaun Bartlett,31 October 1972,Cape Town Spurs
6,FW,Philemon Masinga,28 June 1969,Leeds United
13,FW,Daniel Mudau,4 September 1968,Mamelodi Sundowns
11,FW,Mark Williams,11 August 1966,Wolverhampton Wanderers